player,estimated_overall,value,age,Cluster
Jan Vertonghen,81.28571428571429,5500000.0,36,0
Taxiarchis Fountas,80.375,6000000.0,27,0
Jesús Navas,80.375,5500000.0,37,0
José Fonte,80.14285714285714,3800000.0,39,0
Kasper Schmeichel,80.0,3400000.0,36,0
Paulo Díaz,80.0,7000000.0,29,0
Emmanuel Boateng,79.875,4700000.0,27,0
Daizen Maeda,79.625,3500000.0,25,0
Claudio Bravo,79.6,450.0,40,0
Shane Duffy,79.57142857142857,3500000.0,31,0
Leonardo Sigali,79.57142857142857,2800000.0,36,0
Ahmed Hegazi,79.42857142857143,7000000.0,32,0
Samir Handanovič,79.4,925.0,39,0
Facundo Farías,79.375,6000000.0,21,0
Germán Pezzella,79.14285714285714,7000000.0,32,0
Dani de Wit,79.14285714285714,6500000.0,25,0
Marc-Oliver Kempf,79.0,5000000.0,28,0
Milton Casco,79.0,3900000.0,35,0
Juan Ferney Otero,78.75,2500000.0,28,0
Lucas Martínez Quarta,78.71428571428571,7000000.0,27,0
Diego Godín,78.71428571428571,1300000.0,37,0
Japhet Tanganga,78.57142857142857,4400000.0,24,0
Fali,78.42857142857143,6500000.0,30,0
Luis Miguel Rodríguez,78.375,3600000.0,38,0
Carlos Izquierdoz,78.28571428571429,3600000.0,34,0
Bruno Valdez,78.28571428571429,3500000.0,30,0
Erik Sviatchenko,78.28571428571429,4600000.0,31,0
Samuel Adegbenro,78.25,2600000.0,27,0
Tomáš Vaclík,78.2,7000000.0,34,0
Dave Bulthuis,78.14285714285714,2700000.0,33,0
Leo Østigård,78.14285714285714,3100000.0,23,0
Thilo Kehrer,78.14285714285714,7000000.0,26,0
Sekou Koita,78.125,3600000.0,23,0
Jamie Maclaren,78.125,6000000.0,30,0
Bruno Zuculini,78.0,3600000.0,30,0
Stoppila Sunzu,78.0,1500000.0,34,0
Jawad El Yamiq,78.0,4600000.0,31,0
Liam Cooper,78.0,4600000.0,32,0
Victor Pálsson,78.0,1300000.0,32,0
Jonjo Shelvey,77.875,7000000.0,31,0
David Okereke,77.875,2700000.0,26,0
Christian Kouamé,77.875,6500000.0,25,0
Julien Laporte,77.85714285714286,4800000.0,29,0
Martin Braithwaite,77.75,8500000.0,32,0
Luís Neto,77.71428571428571,2400000.0,35,0
Igor,77.71428571428571,7500000.0,25,0
Ben Godfrey,77.71428571428571,7500000.0,25,0
Krépin Diatta,77.625,6500000.0,24,0
Justin Kluivert,77.625,8500000.0,24,0
Karim El Berkaoui,77.625,2000000.0,28,0
Fredditinho,77.625,7000000.0,35,0
Francesco Caputo,77.625,3600000.0,36,0
Remko Pasveer,77.6,275.0,39,0
Victor Nelsson,77.57142857142857,7500000.0,24,0
Sebastiaan Bornauw,77.57142857142857,5500000.0,24,0
Alexander Barboza,77.57142857142857,5000000.0,28,0
Casper Nielsen,77.5,7500000.0,29,0
Bruma,77.5,6000000.0,28,0
Fashion Sakala,77.5,2600000.0,26,0
Marash Kumbulla,77.42857142857143,6000000.0,23,0
Andrei Girotto,77.42857142857143,8500000.0,31,0
Carlos Manuel Cardoso Mané,77.375,2400000.0,29,0
Nicolò Fagioli,77.375,4400000.0,22,0
Pathé Ciss,77.28571428571429,2700000.0,29,0
Jannik Vestergaard,77.28571428571429,4700000.0,31,0
Eddie Nketiah,77.25,6500000.0,24,0
Teddy Teuma,77.25,7500000.0,29,0
Ondřej Lingr,77.25,4900000.0,24,0
Pepe Reina,77.2,275.0,41,0
Franco Armani,77.2,1900000.0,36,0
André Ramalho,77.14285714285714,4600000.0,31,0
Sergio Barreto,77.14285714285714,4200000.0,24,0
Marin Pongračić,77.14285714285714,4200000.0,25,0
Ryan Yates,77.14285714285714,4300000.0,25,0
Cristian Lema,77.14285714285714,3600000.0,33,0
Jeison Murillo,77.14285714285714,2500000.0,31,0
Rodrigo Becão,77.14285714285714,7000000.0,27,0
Kortney Hause,77.14285714285714,4000000.0,28,0
Arnaud Kalimuendo,77.125,8500000.0,21,0
Riechedly Bazoer,77.125,8500000.0,26,0
Erik,77.125,2500000.0,29,0
Franco Vázquez,77.125,4700000.0,34,0
Petros Mantalos,77.0,7000000.0,32,0
Scott McKenna,77.0,2900000.0,26,0
Elye Wahi,77.0,6000000.0,20,0
Reece Oxford,77.0,5500000.0,24,0
João Victor,77.0,5500000.0,25,0
David Raya,77.0,8500000.0,27,0
Dennis Geiger,77.0,6000000.0,25,0
Papakouli Diop,77.0,600.0,37,0
Jesus Ferreira,77.0,6500000.0,22,0
Daniel James,76.875,6500000.0,25,0
Miguel Veloso,76.875,1800000.0,37,0
Tonny Vilhena,76.875,8000000.0,28,0
Bruno Petković,76.875,6000000.0,28,0
Arthur Theate,76.85714285714286,7500000.0,23,0
Marko Grujić,76.85714285714286,8000000.0,27,0
Armando Obispo,76.85714285714286,5500000.0,24,0
Luiz Gustavo Dias,76.85714285714286,1900000.0,36,0
Dante,76.85714285714286,2500000.0,39,0
Rodrigo Ely,76.85714285714286,4800000.0,29,0
Eltildo Correia,76.85714285714286,3500000.0,31,0
Vincent Pule,76.75,2300000.0,31,0
Nicolás Domínguez,76.71428571428571,8500000.0,25,0
Jeong Seung Hyun,76.71428571428571,2000000.0,29,0
Martín Ojeda,76.625,8500000.0,24,0
Gelson Martins,76.625,8000000.0,28,0
Yoane Wissa,76.625,6000000.0,26,0
Joe Willock,76.625,9000000.0,24,0
Olarenwaju Kayode,76.625,1900000.0,30,0
João Paulo,76.625,4600000.0,32,0
Szymon Żurkowski,76.625,8500000.0,25,0
Hendrik Van Crombrugge,76.6,5000000.0,30,0
Jean-Philippe Gbamin,76.57142857142857,5500000.0,27,0
Marcel Halstenberg,76.57142857142857,8500000.0,31,0
Dan-Axel Zagadou,76.57142857142857,5500000.0,24,0
David Martínez,76.57142857142857,4200000.0,25,0
Armando Izzo,76.57142857142857,3500000.0,31,0
Odilon Kossounou,76.57142857142857,7500000.0,22,0
Jackson Muleka,76.5,2800000.0,23,0
Zainadine,76.42857142857143,1400000.0,35,0
Yvon Mvogo,76.4,7500000.0,29,0
Jean-Paul Boëtius,76.375,5500000.0,29,0
Enzo Le Fée,76.375,9000000.0,23,0
Roni Gameira,76.375,4100000.0,31,0
Joshua King,76.375,5500000.0,31,0
Pascal Struijk,76.28571428571429,7500000.0,24,0
Tosin Adarabioyo,76.28571428571429,7500000.0,25,0
Luiz Araújo,76.25,8000000.0,27,0
Tarik Tissoudali,76.25,7500000.0,30,0
Sergio Peña,76.25,2500000.0,27,0
Aguado,76.25,6000000.0,27,0
Marco Silvestri,76.2,9500000.0,32,0
Michele Di Gregorio,76.2,6500000.0,26,0
Matías Dituro,76.2,1200000.0,36,0
Harrison Delbridge,76.14285714285714,1300000.0,31,0
Sikou Niakaté,76.14285714285714,4400000.0,24,0
Abdallah Sima,76.125,2800000.0,22,0
Wilfried Gnonto,76.125,2400000.0,19,0
Christian Fassnacht,76.125,7500000.0,29,0
Daniel Bragança,76.125,6500000.0,24,0
Charles Aránguiz,76.125,7000000.0,34,0
Aleš Mandous,76.0,3700000.0,31,0
Iborra,76.0,1900000.0,35,0
Trincão,76.0,9000000.0,23,0
Lucas Biglia,76.0,1500000.0,37,0
Alexander Callens,76.0,3500000.0,31,0
Altay Bayındır,76.0,9000000.0,25,0
Dedryck Boyata,76.0,2900000.0,32,0
Stefan Mitrović,76.0,2700000.0,33,0
Matheus Henrique,76.0,4800000.0,25,0
Micky van de Ven,76.0,6000000.0,22,0
Christian Luyindama,76.0,2000000.0,29,0
Bertrand Traoré,76.0,8000000.0,27,0
Orel Mangala,75.875,6500000.0,25,0
Guillermo Fernández,75.875,7000000.0,31,0
Chris Ramos,75.875,1800000.0,26,0
Jordan Ferri,75.875,9000000.0,31,0
Nikola Moro,75.875,4300000.0,25,0
Leonel Miranda,75.875,4200000.0,29,0
Castello Lukeba,75.85714285714286,7000000.0,20,0
Miloš Veljković,75.85714285714286,4000000.0,27,0
Grischa Prömel,75.85714285714286,8000000.0,28,0
Rasmus Lauritsen,75.85714285714286,2200000.0,27,0
Illan Meslier,75.8,9500000.0,23,0
De Marcos,75.75,7500000.0,34,0
Unai López,75.75,4100000.0,27,0
Kamaldeen Sulemana,75.75,4800000.0,21,0
Rafael da Silva,75.75,3000000.0,31,0
Benjamin Šeško,75.75,4700000.0,20,0
Chiquinho,75.75,3300000.0,28,0
Brenner,75.75,5000000.0,23,0
Adam Armstrong,75.75,3400000.0,26,0
Dejan Ljubičić,75.75,8500000.0,25,0
Petros,75.71428571428571,2600000.0,34,0
Oumar Solet,75.71428571428571,6000000.0,23,0
Ander Capa,75.71428571428571,6500000.0,31,0
Joe Worrall,75.71428571428571,4100000.0,26,0
Jores Okore,75.71428571428571,1300000.0,31,0
Bernard,75.625,5500000.0,30,0
Gustavo Bou,75.625,4600000.0,33,0
Romain Alessandrini,75.625,2700000.0,34,0
Alejandro Silva,75.625,4500000.0,33,0
Mariano,75.625,4300000.0,30,0
Fayçal Fajr,75.625,3500000.0,35,0
Rolando Mandragora,75.625,6000000.0,26,0
Paulo Gazzaniga,75.6,5000000.0,31,0
Diego López,75.6,450.0,41,0
Sean Morrison,75.57142857142857,1100000.0,32,0
Azor Matusiwa,75.57142857142857,4300000.0,25,0
Papy Djilobodji,75.57142857142857,900.0,34,0
Lukas Görtler,75.5,3000000.0,29,0
Jérémy Doku,75.5,6500000.0,21,0
Alan Velasco,75.5,6000000.0,21,0
Mohamed Buya Turay,75.5,1300000.0,28,0
Dany Mota,75.5,4900000.0,25,0
Jacob Ramsey,75.5,6500000.0,22,0
Marco Richter,75.5,6500000.0,25,0
Yimmi Chará,75.5,2500000.0,32,0
Lucas Torró,75.42857142857143,10000000.0,29,0
Gian Marco Ferrari,75.42857142857143,2500000.0,31,0
Édundo Oliveira,75.42857142857143,1900000.0,31,0
Leandro González Pirez,75.42857142857143,2500000.0,31,0
Kevin Mac Allister,75.42857142857143,4200000.0,25,0
Jordan Morris,75.375,2000000.0,28,0
Johan Guerredero,75.375,2000000.0,31,0
Gianluca Lapadula,75.375,2500000.0,33,0
Na Sang Ho,75.375,2100000.0,27,0
Mattias Svanberg,75.375,6500000.0,24,0
Kerem Aktürkoğlu,75.375,4900000.0,24,0
Brendan Chardonnet,75.28571428571429,3900000.0,28,0
Tomás Belmonte,75.28571428571429,2700000.0,25,0
Romain Thomas,75.28571428571429,1400000.0,35,0
Rafael Delgado,75.28571428571429,2100000.0,33,0
Elieser Danilo Baldeiro Lopes,75.28571428571429,4000000.0,27,0
Anthony Briançon,75.28571428571429,1700000.0,28,0
Mamadou Loum,75.28571428571429,1800000.0,26,0
Albert Vallci,75.28571428571429,1900000.0,28,0
Shkodran Mustafi,75.28571428571429,1900000.0,31,0
Siriki Dembélé,75.25,1600000.0,26,0
Aitor Ruibal,75.25,6000000.0,27,0
Rhys Healey,75.25,3300000.0,28,0
Jean-Daniel Akpa Akpro,75.25,5500000.0,30,0
Abderrazak Hamdallah,75.25,6500000.0,32,0
Thierry Ambrose,75.25,2600000.0,26,0
Robert Žulj,75.25,4100000.0,31,0
